Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACAN,Aggrecan core protein,18416,614,1.53 [1.17-2.00],0.0016754581450549
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACE2,Angiotensin-converting enzyme 2,18261,611,1.22 [1.07-1.39],0.0022681153067221
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACTA2,"Actin, aortic smooth muscle",18261,611,1.29 [1.12-1.49],0.0003584446844579
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACTN2,Alpha-actinin-2,15687,504,1.21 [1.06-1.37],0.0043613396739889
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADA2,Adenosine deaminase 2,18488,612,1.53 [1.30-1.79],1.797328960627162e-07
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15775,511,1.56 [1.23-1.98],0.000295082356403
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,18261,611,1.60 [1.28-2.01],4.471961538584696e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,16186,514,1.69 [1.29-2.21],0.0001314728549773
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18657,622,0.69 [0.59-0.81],4.265372729577708e-06
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTSL2,ADAMTS-like protein 2,16245,521,1.37 [1.08-1.73],0.0093320622749743
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRE2,Adhesion G protein-coupled receptor E2,18670,621,1.41 [1.10-1.81],0.0067263974509086
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRE5,Adhesion G protein-coupled receptor E5,18731,628,1.36 [1.09-1.69],0.0061313726680944
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRG1,Adhesion G-protein coupled receptor G1,18516,618,1.19 [1.10-1.28],4.3287294866742045e-06
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADM,Pro-adrenomedullin,18765,627,1.69 [1.28-2.24],0.0002202507187508
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AGR2,Anterior gradient protein 2 homolog,18054,604,1.13 [1.05-1.22],0.0015126646495638
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AHNAK,Neuroblast differentiation-associated protein AHNAK,15797,502,0.59 [0.44-0.79],0.0003277780922247
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AKR1B10,Aldo-keto reductase family 1 member B10,15825,508,1.25 [1.11-1.40],0.0002586525639014
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ALCAM,CD166 antigen,18827,629,2.04 [1.43-2.91],9.251925748213464e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANGPT2,Angiopoietin-2,18765,627,1.42 [1.18-1.71],0.0001791997764786
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANGPTL1,Angiopoietin-related protein 1,18316,618,1.60 [1.25-2.05],0.0002236986527904
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANGPTL4,Angiopoietin-related protein 4,18643,621,1.33 [1.13-1.56],0.0004465024868095
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANGPTL7,Angiopoietin-related protein 7,18765,627,1.42 [1.16-1.72],0.0005466078572078
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANPEP,Aminopeptidase N,18653,617,1.52 [1.18-1.96],0.0011544270215294
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APCS,Serum amyloid P-component,16109,517,0.70 [0.54-0.91],0.0068930060726991
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOA2,Apolipoprotein A-II,16254,522,1.26 [1.06-1.49],0.0086773067134519
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOE,Apolipoprotein E,16261,522,0.60 [0.51-0.72],6.992917741892443e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AREG,Amphiregulin,18516,618,1.80 [1.54-2.11],4.624868840935438e-13
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,B4GALT1,"Beta-1,4-galactosyltransferase 1",18670,621,1.63 [1.27-2.11],0.0001404312134145
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BAG3,BAG family molecular chaperone regulator 3,18422,619,0.80 [0.69-0.93],0.004233235477262
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BCAM,Basal cell adhesion molecule,18609,622,1.53 [1.16-2.01],0.0026028038511455
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BCAN,Brevican core protein,18457,620,0.62 [0.50-0.76],5.1343812445368e-06
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BRK1,Protein BRICK1,18183,611,1.44 [1.23-1.68],3.676196502196877e-06
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BSG,Basigin,18790,624,1.89 [1.34-2.67],0.0003181672912762
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BST2,Bone marrow stromal antigen 2,18778,626,1.21 [1.05-1.38],0.0065145874398041
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BTN2A1,Butyrophilin subfamily 2 member A1,18670,621,1.42 [1.10-1.83],0.0074078198334797
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BTN3A2,Butyrophilin subfamily 3 member A2,18585,615,1.30 [1.08-1.57],0.0047341335705873
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C1QA,Complement C1q subcomponent subunit A,18729,622,1.80 [1.33-2.44],0.000157169149633
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C7,Complement component C7,15860,510,2.08 [1.60-2.72],6.807146145090121e-08
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA12,Carbonic anhydrase 12,18516,618,1.51 [1.22-1.86],0.0001521737608828
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA14,Carbonic anhydrase 14,18765,627,0.70 [0.57-0.85],0.0003322939239902
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA6,Carbonic anhydrase 6,18555,621,0.81 [0.72-0.91],0.000252013620972
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCDC80,Coiled-coil domain-containing protein 80,18603,623,1.50 [1.24-1.81],2.6983948118295428e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCL15,C-C motif chemokine 15,18827,629,1.24 [1.06-1.46],0.006148854672941
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCL21,C-C motif chemokine 21,18670,621,1.26 [1.06-1.51],0.0095731985453435
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCN5,CCN family member 5,18609,622,1.34 [1.11-1.62],0.0024776306149873
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD14,Monocyte differentiation antigen CD14,18230,605,1.30 [1.09-1.56],0.0032048755471572
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD163,Scavenger receptor cysteine-rich type 1 protein M130,18678,619,1.32 [1.12-1.54],0.0007602318634934
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD244,Natural killer cell receptor 2B4,18817,624,1.54 [1.20-1.98],0.0006396589529808
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD27,CD27 antigen,18657,622,1.37 [1.17-1.61],0.0001074663154031
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD276,CD276 antigen,18569,618,1.80 [1.46-2.23],3.926870073383505e-08
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD300E,CMRF35-like molecule 2,18712,626,1.26 [1.07-1.49],0.0065594398152312
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD302,CD302 antigen,18516,618,1.54 [1.24-1.92],9.83807894972208e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD4,T-cell surface glycoprotein CD4,18557,615,1.53 [1.26-1.85],2.203526727328881e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD48,CD48 antigen,18643,621,1.44 [1.15-1.82],0.0017886945741613
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD59,CD59 glycoprotein,17933,599,1.67 [1.25-2.23],0.0005711491281425
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD7,T-cell antigen CD7,15753,510,1.34 [1.12-1.61],0.0011901853696474
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD74,HLA class II histocompatibility antigen gamma chain,18778,626,1.49 [1.22-1.82],9.175510267459936e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD80,T-lymphocyte activation antigen CD80,16240,520,1.76 [1.41-2.19],6.438973912410021e-07
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD83,CD83 antigen,18585,615,1.37 [1.11-1.69],0.0028097745200391
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CDCP1,CUB domain-containing protein 1,18457,620,1.36 [1.21-1.53],2.821095511776268e-07
